pid,name,cid,role,content
3,"No definition, 8 shots, Original conventional vs creative ratio",7,user,"Can you please identify and tag the metaphors in the following text? 
director anthony waller , who displayed a confident , edgy style in mute witness , stumbles with this material , never being able to make the comedy and horror elements gel ."
3,"No definition, 8 shots, Original conventional vs creative ratio",8,assistant,"director anthony waller , who displayed a confident , <Metaphor> edgy </Metaphor> style in mute witness , <Metaphor> stumbles </Metaphor> with this <Metaphor> material </Metaphor> , never being able to make the comedy and horror <Metaphor> elements </Metaphor> <Metaphor> gel </Metaphor> ."
3,"No definition, 8 shots, Original conventional vs creative ratio",9,user,"Can you please identify and tag the metaphors in the following text?
we also see that the black pimps have a number of white girls in their stable and we see how they treat them like dirt , as the film implies that this could be payback for the days of slavery , of master and slave relations ."
3,"No definition, 8 shots, Original conventional vs creative ratio",10,assistant,"we also see that the black pimps have a number of white girls in their <Metaphor> stable </Metaphor> and we see how they treat them <Metaphor> like dirt </Metaphor> , as the film implies that this could be <Metaphor> payback </Metaphor>for the days of slavery , of master and slave relations ."
3,"No definition, 8 shots, Original conventional vs creative ratio",11,user,"Can you please identify and tag the metaphors in the following text? 
have you ever seen a movie that you really enjoyed , then when you look back , you realize there was something missing ?"
3,"No definition, 8 shots, Original conventional vs creative ratio",12,assistant,"have you ever seen a movie that you really enjoyed , then when you <Metaphor> look back </Metaphor> , you realize there was something missing ?"
3,"No definition, 8 shots, Original conventional vs creative ratio",13,user,"Can you please identify and tag the metaphors in the following text? 
while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant ."
3,"No definition, 8 shots, Original conventional vs creative ratio",14,assistant,"while emotionally unconvincing , the actress is tremendously fun in her juvenile role , <Metaphor> perking up the movie like an injection of anti-depressant </Metaphor> ."
3,"No definition, 8 shots, Original conventional vs creative ratio",15,user,"Can you please identify and tag the metaphors in the following text? 
total recall is a typical sci-fi film wrapped around an intresting ( if far fetched ) plot "
3,"No definition, 8 shots, Original conventional vs creative ratio",16,assistant,total recall is a typical sci-fi film <Metaphor> wrapped around </Metaphor> an intresting ( if far fetched ) plot .
3,"No definition, 8 shots, Original conventional vs creative ratio",17,user,"Can you please identify and tag the metaphors in the following text? 
[#TEST_TEXT]"
4,"No definition, 8 shots, Even conventional vs creative ratio",0,system,"You are a linguistic expert trained in metaphor identification. When the user provides a text, follow this protocol:
• Identify all metaphorical expressions
• Wrap each one in <Metaphor> and </Metaphor> tags.
• Reproduce the rest of the text exactly as written.
• Do not include any explanation, commentary, or extra content in this message."
4,"No definition, 8 shots, Even conventional vs creative ratio",1,user,"Can you please identify and tag the metaphors in the following text?
the rest of the characters are the dullest people imaginable ."
4,"No definition, 8 shots, Even conventional vs creative ratio",2,assistant,the rest of the characters are the <Metaphor> dullest </Metaphor> people imaginable .
4,"No definition, 8 shots, Even conventional vs creative ratio",3,user,"Can you please identify and tag the metaphors in the following text? 
while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant "
4,"No definition, 8 shots, Even conventional vs creative ratio",4,assistant,"while emotionally unconvincing , the actress is tremendously fun in her juvenile role , <Metaphor> perking up the movie like an injection of anti-depressant </Metaphor> ."
4,"No definition, 8 shots, Even conventional vs creative ratio",5,user,"Can you please identify and tag the metaphors in the following text? 
court tv junkies will probably pick up the many differences , some subtle and others not , between the american and the british judicial systems ."
4,"No definition, 8 shots, Even conventional vs creative ratio",6,assistant,"court tv <Metaphor> junkies </Metaphor> will probably <Metaphor> pick up </Metaphor> the many differences , some subtle and others not , between the american and the british judicial systems ."
4,"No definition, 8 shots, Even conventional vs creative ratio",7,user,"Can you please identify and tag the metaphors in the following text? 
the film , which wanders all over the place without getting anywhere , is remarkably * on * -kilter and , with perhaps the single exception of the always-likable modine ( who's not afraid to stand around in a very unattractive bathing suit surrounded by hunks ) , the entire cast is vague and uninteresting ."
4,"No definition, 8 shots, Even conventional vs creative ratio",8,assistant,"the film , which <Metaphor> wanders all over the place without getting anywhere </Metaphor> , is remarkably * <Metaphor> on * -kilter </Metaphor> and , with perhaps the single exception of the always-likable modine ( who's not afraid to stand around in a very unattractive bathing suit surrounded by <Metaphor> hunks </Metaphor> ) , the entire cast is <Metaphor> vague </Metaphor> and uninteresting ."
4,"No definition, 8 shots, Even conventional vs creative ratio",9,user,"Can you please identify and tag the metaphors in the following text? 
total recall is a typical sci-fi film wrapped around an intresting ( if far fetched ) plot ."
4,"No definition, 8 shots, Even conventional vs creative ratio",10,assistant,total recall is a typical sci-fi film <Metaphor> wrapped around </Metaphor> an intresting ( if far fetched ) plot .
4,"No definition, 8 shots, Even conventional vs creative ratio",11,user,"Can you please identify and tag the metaphors in the following text? 
it's labute's half hearted attempt to make a crowd pleaser and he doesn't even seem to have half that heart in it ."
4,"No definition, 8 shots, Even conventional vs creative ratio",12,assistant,it's labute's <Metaphor> half hearted </Metaphor> attempt to make a crowd pleaser and he doesn't even seem to have <Metaphor> half that heart </Metaphor> in it .
4,"No definition, 8 shots, Even conventional vs creative ratio",13,user,"Can you please identify and tag the metaphors in the following text? 
since i usually review horror and science fiction films , i feel a little out of my league discussing this teen football movie . ( pun intended . thank you ! )"
4,"No definition, 8 shots, Even conventional vs creative ratio",14,assistant,"since i usually review horror and science fiction films , i feel a little <Metaphor> out of my league </Metaphor> discussing this teen football movie . ( pun intended . thank you ! )"
4,"No definition, 8 shots, Even conventional vs creative ratio",15,user,"Can you please identify and tag the metaphors in the following text? 
instead of tweaking the formula a little to invigorate the proceedings , burns is content to allow the film to ramble aimlessly towards its irritatingly predictable conclusion , offering precious few momentary pleasures along the way ."
4,"No definition, 8 shots, Even conventional vs creative ratio",16,assistant,"instead of <Metaphor> tweaking </Metaphor> the formula a little to <Metaphor> invigorate </Metaphor> the proceedings , burns is content to allow the film to <Metaphor> ramble aimlessly towards </Metaphor> its irritatingly predictable conclusion , <Metaphor> offering precious few momentary pleasures along the way </Metaphor> ."
4,"No definition, 8 shots, Even conventional vs creative ratio",17,user,"Can you please identify and tag the metaphors in the following text?
[#TEST_TEXT]"
5,"With definition, 4 shots, Original conventional vs creative ratio",0,system,"You are a linguistic expert trained in metaphor identification. When the user provides a text, follow this protocol:
• Identify all metaphorical expressions. A metaphorical expression is a string of one or more words that describes one entity in terms of another unrelated entity by means of comparison
• Wrap each one in <Metaphor> and </Metaphor> tags.
• Reproduce the rest of the text exactly as written.
• Do not include any explanation, commentary, or extra content in this message."
5,"With definition, 4 shots, Original conventional vs creative ratio",1,user,"Can you please identify and tag the metaphors in the following text? 
the rest of the characters are the dullest people imaginable ."
5,"With definition, 4 shots, Original conventional vs creative ratio",2,assistant,the rest of the characters are the <Metaphor> dullest </Metaphor> people imaginable .
5,"With definition, 4 shots, Original conventional vs creative ratio",3,user,"Can you please identify and tag the metaphors in the following text? 
the keen wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that blossoms between the two are the fine components that make up a modest , little caper adventure entitled `where the money is . '"
5,"With definition, 4 shots, Original conventional vs creative ratio",4,assistant,"the <Metaphor> keen </Metaphor> wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that <Metaphor> blossoms </Metaphor> between the two are the fine <Metaphor> components </Metaphor> that make up a <Metaphor> modest </Metaphor> , <Metaphor> little </Metaphor> <Metaphor> caper </Metaphor> adventure entitled `where the money is . '"
5,"With definition, 4 shots, Original conventional vs creative ratio",5,user,"Can you please identify and tag the metaphors in the following text? 
and for those viewers out there who would only lay down money for this movie in hopes of seeing pam topless , hate to burst your bubble , but there are no full-fledged nude scenes in barb wire ."
5,"With definition, 4 shots, Original conventional vs creative ratio",6,assistant,"and for those viewers out there who would only lay down money for this movie in hopes of seeing pam topless , hate to <Metaphor> burst your bubble </Metaphor> , but there are no <Metaphor> full-fledged </Metaphor> nude scenes in barb wire ."
5,"With definition, 4 shots, Original conventional vs creative ratio",7,user,"Can you please identify and tag the metaphors in the following text? 
while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant ."
5,"With definition, 4 shots, Original conventional vs creative ratio",8,assistant,"while emotionally unconvincing , the actress is tremendously fun in her juvenile role , <Metaphor> perking up the movie like an injection of anti-depressant </Metaphor> ."
5,"With definition, 4 shots, Original conventional vs creative ratio",9,user,"Can you please identify and tag the metaphors in the following text?
[#TEST_TEXT]"
6,"With definition, 4 shots, Even conventional vs creative ratio",0,system,"You are a linguistic expert trained in metaphor identification. When the user provides a text, follow this protocol:
• Identify all metaphorical expressions. A metaphorical expression is a string of one or more words that describes one entity in terms of another unrelated entity by means of comparison.
• Wrap each one in <Metaphor> and </Metaphor> tags.
• Reproduce the rest of the text exactly as written.
• Do not include any explanation, commentary, or extra content in this message."
6,"With definition, 4 shots, Even conventional vs creative ratio",1,user,"Can you please identify and tag the metaphors in the following text? 
the rest of the characters are the dullest people imaginable ."
6,"With definition, 4 shots, Even conventional vs creative ratio",2,assistant,the rest of the characters are the <Metaphor> dullest </Metaphor> people imaginable .
6,"With definition, 4 shots, Even conventional vs creative ratio",3,user,"Can you please identify and tag the metaphors in the following text? 
while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant ."
6,"With definition, 4 shots, Even conventional vs creative ratio",4,assistant,"while emotionally unconvincing , the actress is tremendously fun in her juvenile role , <Metaphor> perking up the movie like an injection of anti-depressant </Metaphor> ."
6,"With definition, 4 shots, Even conventional vs creative ratio",5,user,"Can you please identify and tag the metaphors in the following text? 
court tv junkies will probably pick up the many differences , some subtle and others not , between the american and the british judicial systems ."
6,"With definition, 4 shots, Even conventional vs creative ratio",6,assistant,"court tv <Metaphor> junkies </Metaphor> will probably <Metaphor> pick up </Metaphor> the many differences , some subtle and others not , between the american and the british judicial systems ."
6,"With definition, 4 shots, Even conventional vs creative ratio",7,user,"Can you please identify and tag the metaphors in the following text? 
the film , which wanders all over the place without getting anywhere , is remarkably * on * -kilter and , with perhaps the single exception of the always-likable modine ( who's not afraid to stand around in a very unattractive bathing suit surrounded by hunks ) , the entire cast is vague and uninteresting ."
6,"With definition, 4 shots, Even conventional vs creative ratio",8,assistant,"the film , which <Metaphor> wanders all over the place without getting anywhere </Metaphor> , is remarkably * <Metaphor> on * -kilter </Metaphor> and , with perhaps the single exception of the always-likable modine ( who's not afraid to stand around in a very unattractive bathing suit surrounded by <Metaphor> hunks </Metaphor> ) , the entire cast is <Metaphor> vague </Metaphor> and uninteresting ."
6,"With definition, 4 shots, Even conventional vs creative ratio",9,user,"Can you please identify and tag the metaphors in the following text?
[#TEST_TEXT]"
7,"With definition, 8 shots, Original conventional vs creative ratio",0,system,"You are a linguistic expert trained in metaphor identification. When the user provides a text, follow this protocol:
• Identify all metaphorical expressions. A metaphorical expression is a string of one or more words that describes one entity in terms of another unrelated entity by means of comparison.
• Wrap each one in <Metaphor> and </Metaphor> tags.
• Reproduce the rest of the text exactly as written.
• Do not include any explanation, commentary, or extra content in this message."
7,"With definition, 8 shots, Original conventional vs creative ratio",1,user,"Can you please identify and tag the metaphors in the following text? 
the rest of the characters are the dullest people imaginable ."
7,"With definition, 8 shots, Original conventional vs creative ratio",2,assistant,the rest of the characters are the <Metaphor> dullest </Metaphor> people imaginable .
7,"With definition, 8 shots, Original conventional vs creative ratio",3,user,"Can you please identify and tag the metaphors in the following text? 
the keen wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that blossoms between the two are the fine components that make up a modest , little caper adventure entitled `where the money is . '"
7,"With definition, 8 shots, Original conventional vs creative ratio",4,assistant,"the <Metaphor> keen </Metaphor> wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that <Metaphor> blossoms </Metaphor> between the two are the fine <Metaphor> components </Metaphor> that make up a <Metaphor> modest </Metaphor> , <Metaphor> little </Metaphor> <Metaphor> caper </Metaphor> adventure entitled `where the money is . '"
7,"With definition, 8 shots, Original conventional vs creative ratio",5,user,"Can you please identify and tag the metaphors in the following text? 
and for those viewers out there who would only lay down money for this movie in hopes of seeing pam topless , hate to burst your bubble , but there are no full-fledged nude scenes in barb wire ."
7,"With definition, 8 shots, Original conventional vs creative ratio",6,assistant,"and for those viewers out there who would only lay down money for this movie in hopes of seeing pam topless , hate to <Metaphor> burst your bubble </Metaphor> , but there are no <Metaphor> full-fledged </Metaphor> nude scenes in barb wire ."
7,"With definition, 8 shots, Original conventional vs creative ratio",7,user,"Can you please identify and tag the metaphors in the following text? 
director anthony waller , who displayed a confident , edgy style in mute witness , stumbles with this material , never being able to make the comedy and horror elements gel ."
7,"With definition, 8 shots, Original conventional vs creative ratio",8,assistant,"director anthony waller , who displayed a confident , <Metaphor> edgy </Metaphor> style in mute witness , <Metaphor> stumbles </Metaphor> with this <Metaphor> material </Metaphor> , never being able to make the comedy and horror <Metaphor> elements </Metaphor> <Metaphor> gel </Metaphor> ."
7,"With definition, 8 shots, Original conventional vs creative ratio",9,user,"Can you please identify and tag the metaphors in the following text? 
we also see that the black pimps have a number of white girls in their stable and we see how they treat them like dirt , as the film implies that this could be payback for the days of slavery , of master and slave relations ."
7,"With definition, 8 shots, Original conventional vs creative ratio",10,assistant,"we also see that the black pimps have a number of white girls in their <Metaphor> stable </Metaphor> and we see how they treat them <Metaphor> like dirt </Metaphor> , as the film implies that this could be <Metaphor> payback </Metaphor>for the days of slavery , of master and slave relations ."
7,"With definition, 8 shots, Original conventional vs creative ratio",11,user,"Can you please identify and tag the metaphors in the following text? 
have you ever seen a movie that you really enjoyed , then when you look back , you realize there was something missing ?"
7,"With definition, 8 shots, Original conventional vs creative ratio",12,assistant,"have you ever seen a movie that you really enjoyed , then when you <Metaphor> look back </Metaphor> , you realize there was something missing ?"
7,"With definition, 8 shots, Original conventional vs creative ratio",13,user,"Can you please identify and tag the metaphors in the following text? 
while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant ."
7,"With definition, 8 shots, Original conventional vs creative ratio",14,assistant,"while emotionally unconvincing , the actress is tremendously fun in her juvenile role , <Metaphor> perking up the movie like an injection of anti-depressant </Metaphor> ."
7,"With definition, 8 shots, Original conventional vs creative ratio",15,user,"Can you please identify and tag the metaphors in the following text?
total recall is a typical sci-fi film wrapped around an intresting ( if far fetched ) plot ."
7,"With definition, 8 shots, Original conventional vs creative ratio",16,assistant,total recall is a typical sci-fi film <Metaphor> wrapped around </Metaphor> an intresting ( if far fetched ) plot .
7,"With definition, 8 shots, Original conventional vs creative ratio",17,user,"Can you please identify and tag the metaphors in the following text?
[#TEST_TEXT]"
8,"With definition, 8 shots, Even conventional vs creative ratio",0,system,"You are a linguistic expert trained in metaphor identification. When the user provides a text, follow this protocol:
• Identify all metaphorical expressions. A metaphorical expression is a string of one or more words that describes one entity in terms of another unrelated entity by means of comparison.
• Wrap each one in <Metaphor> and </Metaphor> tags.
• Reproduce the rest of the text exactly as written.
• Do not include any explanation, commentary, or extra content in this message."
8,"With definition, 8 shots, Even conventional vs creative ratio",1,user,"Can you please identify and tag the metaphors in the following text? 
the rest of the characters are the dullest people imaginable ."
8,"With definition, 8 shots, Even conventional vs creative ratio",2,assistant,the rest of the characters are the <Metaphor> dullest </Metaphor> people imaginable .
8,"With definition, 8 shots, Even conventional vs creative ratio",3,user,"Can you please identify and tag the metaphors in the following text? 
while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant ."
8,"With definition, 8 shots, Even conventional vs creative ratio",4,assistant,"while emotionally unconvincing , the actress is tremendously fun in her juvenile role , <Metaphor> perking up the movie like an injection of anti-depressant </Metaphor> ."
8,"With definition, 8 shots, Even conventional vs creative ratio",5,user,"Can you please identify and tag the metaphors in the following text? 
court tv junkies will probably pick up the many differences , some subtle and others not , between the american and the british judicial systems ."
8,"With definition, 8 shots, Even conventional vs creative ratio",6,assistant,"court tv <Metaphor> junkies </Metaphor> will probably <Metaphor> pick up </Metaphor> the many differences , some subtle and others not , between the american and the british judicial systems ."
8,"With definition, 8 shots, Even conventional vs creative ratio",7,user,"Can you please identify and tag the metaphors in the following text? 
the film , which wanders all over the place without getting anywhere , is remarkably * on * -kilter and , with perhaps the single exception of the always-likable modine ( who's not afraid to stand around in a very unattractive bathing suit surrounded by hunks ) , the entire cast is vague and uninteresting ."
8,"With definition, 8 shots, Even conventional vs creative ratio",8,assistant,"the film , which <Metaphor> wanders all over the place without getting anywhere </Metaphor> , is remarkably * <Metaphor> on * -kilter </Metaphor> and , with perhaps the single exception of the always-likable modine ( who's not afraid to stand around in a very unattractive bathing suit surrounded by <Metaphor> hunks </Metaphor> ) , the entire cast is <Metaphor> vague </Metaphor> and uninteresting ."
8,"With definition, 8 shots, Even conventional vs creative ratio",9,user,"Can you please identify and tag the metaphors in the following text? 
total recall is a typical sci-fi film wrapped around an intresting ( if far fetched ) plot ."
8,"With definition, 8 shots, Even conventional vs creative ratio",10,assistant,total recall is a typical sci-fi film <Metaphor> wrapped around </Metaphor> an intresting ( if far fetched ) plot .
8,"With definition, 8 shots, Even conventional vs creative ratio",11,user,"Can you please identify and tag the metaphors in the following text? 
it's labute's half hearted attempt to make a crowd pleaser and he doesn't even seem to have half that heart in it ."
8,"With definition, 8 shots, Even conventional vs creative ratio",12,assistant,it's labute's <Metaphor> half hearted </Metaphor> attempt to make a crowd pleaser and he doesn't even seem to have <Metaphor> half that heart </Metaphor> in it .
8,"With definition, 8 shots, Even conventional vs creative ratio",13,user,"Can you please identify and tag the metaphors in the following text? 
since i usually review horror and science fiction films , i feel a little out of my league discussing this teen football movie . ( pun intended . thank you ! )"
8,"With definition, 8 shots, Even conventional vs creative ratio",14,assistant,"since i usually review horror and science fiction films , i feel a little <Metaphor> out of my league </Metaphor> discussing this teen football movie . ( pun intended . thank you ! )"
8,"With definition, 8 shots, Even conventional vs creative ratio",15,user,"Can you please identify and tag the metaphors in the following text? 
instead of tweaking the formula a little to invigorate the proceedings , burns is content to allow the film to ramble aimlessly towards its irritatingly predictable conclusion , offering precious few momentary pleasures along the way ."
8,"With definition, 8 shots, Even conventional vs creative ratio",16,assistant,"instead of <Metaphor> tweaking </Metaphor> the formula a little to <Metaphor> invigorate </Metaphor> the proceedings , burns is content to allow the film to <Metaphor> ramble aimlessly towards </Metaphor> its irritatingly predictable conclusion , <Metaphor> offering precious few momentary pleasures along the way </Metaphor> ."
8,"With definition, 8 shots, Even conventional vs creative ratio",17,user,"Can you please identify and tag the metaphors in the following text?
[#TEST_TEXT]"
9,"Chain-of-thought, 4 shots, Original conventional vs creative ratio",0,system,"You are a linguistic expert trained in metaphor identification. When the user provides a text, follow this two-step protocol: 
Assistant message #1 – Tagged text only
• Identify all metaphorical expression.
• Wrap each one in <Metaphor> and </Metaphor> tags.
• Reproduce the rest of the text exactly as written.
• Do not include any explanation, commentary, or extra content in this message.
Assistant message #2 – Explanations
• In a new assistant response immediately after the tagged text, give a concise, numbered explanation for each metaphor in the order they appear
• Use exactly the following template for every explanation (replace the bracketed placeholders):  The word “[WORD]” has a more basic contemporary meaning: in other contexts, it refers to [BASIC MEANING]. In this example, it describes [FIGURATIVE MEANING] by comparing them to something literally [BASIC MEANING], which makes it a metaphorical usage.
• Do not repeat or re-tag the original text.
• Do not include any additional commentary beyond the numbered template explanations. 
Never merge these two outputs into a single message."
9,"Chain-of-thought, 4 shots, Original conventional vs creative ratio",1,user,"Can you please identify and tag the metaphors in the following text? 
the rest of the characters are the dullest people imaginable ."
9,"Chain-of-thought, 4 shots, Original conventional vs creative ratio",2,assistant,the rest of the characters are the <Metaphor> dullest </Metaphor> people imaginable . 
9,"Chain-of-thought, 4 shots, Original conventional vs creative ratio",3,assistant,"dullest
The word “dullest” has a more basic contemporary meaning: in other contexts, it refers to a lack of physical sharpness. In this example, it describes how uninteresting these people are by comparing them to something literally dull, which makes it a metaphorical usage."
9,"Chain-of-thought, 4 shots, Original conventional vs creative ratio",4,user,"Can you please identify and tag the metaphors in the following text? 
the keen wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that blossoms between the two are the fine components that make up a modest , little caper adventure entitled `where the money is . '"
9,"Chain-of-thought, 4 shots, Original conventional vs creative ratio",5,assistant,"the <Metaphor> keen </Metaphor> wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that <Metaphor> blossoms </Metaphor> between the two are the fine <Metaphor> components </Metaphor> that make up a <Metaphor> modest </Metaphor> , <Metaphor> little </Metaphor> <Metaphor> caper </Metaphor> adventure entitled `where the money is . '"
